subject_id,title,release_year,region,tags,rating,votes,chart_rank,page_url,poster_url,poster_local,directors,casts,aliases,duration,imdb_id,source_label,crawled_at,summary
3792799,岁月神偷,2010,中国香港 中国大陆,"剧情,家庭",8.7,614271,200,https://movie.douban.com/subject/3792799/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,posters/3792799.jpg,罗启锐,吴君如 / 任达华 / 钟绍图 / 李治廷 / 蔡颖恩 / 秦沛 / 夏萍 / 谷德昭 / 许鞍华 / 张同祖,,117分钟,,https://movie.douban.com/top250,2026-05-06 14:00:05,
1867345,遗愿清单,2007,美国,"冒险,喜剧,剧情",8.7,541876,201,https://movie.douban.com/subject/1867345/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.jpg,posters/1867345.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
24750126,荒蛮故事,2014,阿根廷 西班牙,"剧情,喜剧,犯罪",8.7,520760,202,https://movie.douban.com/subject/24750126/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2919686972.jpg,posters/24750126.jpg,达米安·斯兹弗隆,达里奥·格兰迪内蒂 / 玛丽娅·玛努尔 / 莫妮卡·比利亚 / 丽塔·科尔泰塞 / 胡丽叶塔·泽尔贝伯格 / 凯撒·博尔东 / 莱昂纳多·斯巴拉格利亚 / 沃尔特·多纳多 / 里卡多·达林 / 南希·杜普拉,,122分钟,,https://movie.douban.com/top250,2026-05-06 14:00:05,
27059130,大佛普拉斯,2017,中国台湾,"剧情,喜剧",8.7,557541,203,https://movie.douban.com/subject/27059130/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg,posters/27059130.jpg,黄信尧,庄益增 / 陈竹升 / 戴立忍 / 张少怀 / 陈以文 / 纳豆 / 丁国琳 / 李永丰 / 朱约信 / 雷婕熙,,102分钟,,https://movie.douban.com/top250,2026-05-06 14:00:05,
3075287,源代码,2011,美国 加拿大,"科幻,悬疑,惊悚",8.6,930761,204,https://movie.douban.com/subject/3075287/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,posters/3075287.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
34874432,花束般的恋爱,2021,日本,"剧情,爱情",8.6,835149,205,https://movie.douban.com/subject/34874432/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg,posters/34874432.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
2133323,白日梦想家,2013,美国 英国,"剧情,喜剧,冒险",8.6,654490,206,https://movie.douban.com/subject/2133323/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2893896472.jpg,posters/2133323.jpg,本·斯蒂勒,本·斯蒂勒 / 克里斯汀·韦格 / 亚当·斯科特 / 西恩·潘 / 凯瑟琳·哈恩 / 泰伦斯·伯尼·海恩斯 / 保罗·菲兹杰拉德 / 乔恩·戴利 / 乔伊·斯洛特尼克 / 格蕾丝·雷克斯,,114分钟,,https://movie.douban.com/top250,2026-05-06 14:00:05,
25934014,爱乐之城,2016,美国,"剧情,爱情,歌舞",8.4,1127536,207,https://movie.douban.com/subject/25934014/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2929224846.jpg,posters/25934014.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
3592854,疯狂的麦克斯4：狂暴之路,2015,澳大利亚 美国,"动作,科幻,冒险",8.7,621624,208,https://movie.douban.com/subject/3592854/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,posters/3592854.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
1308857,可可西里,2004,中国大陆 中国香港,"剧情,犯罪",8.9,348353,209,https://movie.douban.com/subject/1308857/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,posters/1308857.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
4848115,你看起来好像很好吃,2010,日本,"剧情,动画,儿童",8.9,377717,210,https://movie.douban.com/subject/4848115/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,posters/4848115.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
2209573,贫民窟的百万富翁,2008,英国,"剧情,爱情",8.6,809301,211,https://movie.douban.com/subject/2209573/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,posters/2209573.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,"【诗不禾 · 推荐】
这个复杂的心理蒙太奇现在仍然值得学习

【士多啤梨🍓 · 力荐】
经典中的经典，把苦难写成歌的电影。

【苏 · 推荐】
最后打电话那个镜头突然get到了女主的美!如果小时候看会觉得很好看吧，现在长大了看会发现很多事情还是太理想主义了

【非江湖骗子 · 推荐】
放在09年是好先进的拍摄手法了"
